Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 57,1.5863,13.374,368.85,0.79314931,1.24E-08,8503.7698,2.3745453,1.23E-05,2.48E-08,0.7564142974,0.3864,0.07477194557,0.200488428,0.08835760234,0.1728073688,0.1523456217
DP 58,1.9775,8.732,321.55,0.98873945,3.12E-08,20703.345,5.9768055,3.10E-05,6.24E-08,0.6067762326,0.7776,0.114521301,0.5238606102,0.2301372509,0.9561473769,0.5643479285
DP 59,1.6871,12.163,342.76,0.84354955,1.54E-08,10431.865,2.9432715,1.53E-05,3.07E-08,0.7112204374,0.4872,0.08221655841,0.251596138,0.1149113561,0.3746495795,0.2445818343
DP 60,1.6804,12.975,337.89,0.84019965,1.42E-08,9660.9015,2.7132352,1.41E-05,2.83E-08,0.7140561771,0.4805,0.07707129094,0.2311603323,0.09655900275,0.3612334802,0.227354429
DP 61,1.5156,4.738,379.68,0.75779954,4.56E-09,3573.0416,0.87312764,4.52E-06,9.12E-09,0.7916996569,0.3157,0.2110595188,0.06979040677,0.5744737682,0.03123748498,0.2229155478
DP 62,1.8089,6.169,363.88,0.90444917,1.98E-08,13369.73,3.7841806,1.96E-05,3.95E-08,0.6633313063,0.609,0.1621008267,0.3294696542,0.3998458758,0.6185422507,0.4447930676
DP 63,1.8206,3.632,349.93,0.91029954,1.19E-08,8421.2754,2.2860401,1.18E-05,2.39E-08,0.659068439,0.6207,0.2753303965,0.1983017621,0.803717799,0.6419703644,0.5425166754
DP 64,1.6939,9.998,349.5,0.84694945,1.54E-08,10491.968,2.9526753,1.53E-05,3.08E-08,0.7083653108,0.494,0.100020004,0.2531892786,0.1784134238,0.3882659191,0.2705566451
DP 65,1.6839,11.268,362.06,0.84194921,1.86E-08,12502.559,3.5649543,1.85E-05,3.72E-08,0.7125720055,0.484,0.08874689386,0.3064836916,0.1382040272,0.3682418903,0.268266771
DP 66,1.6482,8.254,319.07,0.82409999,5.62E-09,4282.717,1.0758324,5.58E-06,1.12E-08,0.7280063099,0.4483,0.1211533802,0.08860165872,0.253792826,0.2967561073,0.2109196954
DP 67,1.7523,13.451,375.25,0.87614874,3.27E-08,21469.003,6.2654235,3.25E-05,6.55E-08,0.6847571763,0.5524,0.07434391495,0.5441557839,0.086830885,0.5052062475,0.3749436624
DP 68,1.6575,7.274,360.18,0.82874941,1.16E-08,8088.198,2.22191,1.15E-05,2.32E-08,0.7239215686,0.4576,0.1374759417,0.1894729329,0.3120128151,0.3153784541,0.2695651867
DP 69,1.6316,4.471,353.53,0.81579967,6.45E-09,4825.6669,1.2342283,6.40E-06,1.29E-08,0.7354130914,0.4317,0.2236636099,0.1029935446,0.619430563,0.2635162195,0.3253603079
DP 70,1.7054,3.077,354.37,0.85269963,7.13E-09,5308.354,1.3654464,7.08E-06,1.43E-08,0.7035886009,0.5055,0.3249918752,0.1157880541,0.98085242,0.4112935523,0.4976182287
DP 71,1.7688,13.205,382.15,0.8843986,3.62E-08,23704.082,6.9322953,3.59E-05,7.24E-08,0.6783695161,0.5689,0.07572889057,0.6034006643,0.09177087346,0.5382458951,0.4070277528
DP 72,1.7725,13.867,369.46,0.88624876,3.44E-08,22509.535,6.5792445,3.41E-05,6.87E-08,0.6769534556,0.5726,0.07211365111,0.5717369987,0.07887588749,0.5456547857,0.3947683317
DP 73,1.5647,14.68,354.08,0.7823496,7.72E-09,5534.7659,1.4773543,7.66E-06,1.54E-08,0.7668562664,0.3648,0.06811989101,0.121789518,0.06463077839,0.1295554666,0.1042720018
DP 74,1.5511,7.77,354.51,0.7755497,4.91E-09,3792.7762,0.93962995,4.87E-06,9.82E-09,0.77358004,0.3512,0.1287001287,0.07561487655,0.2807108815,0.1023227873,0.15135402
DP 75,1.5829,5.038,347.94,0.79144978,4.45E-09,3529.0691,0.85132858,4.41E-06,8.89E-09,0.7580390423,0.383,0.1984914649,0.06862483477,0.5296455125,0.165999199,0.2522089503
DP 76,1.8687,14.061,342.93,0.93434922,3.95E-08,25775.743,7.5564446,3.92E-05,7.89E-08,0.6421041366,0.6688,0.07111869711,0.65831385,0.07532704429,0.7382859431,0.4857358564
DP 77,1.7231,14.354,369.74,0.86154891,2.90E-08,19050.614,5.5469632,2.87E-05,5.80E-08,0.6963612094,0.5232,0.06966699178,0.4800519348,0.07014904156,0.4467360833,0.3289892297
DP 78,1.83,5.986,341.7,0.91499953,1.74E-08,11885.05,3.3367046,1.73E-05,3.49E-08,0.6556830601,0.6301,0.1670564651,0.2901154796,0.4175218521,0.6607929515,0.4515819935
DP 79,1.7759,3.351,374.21,0.88794929,1.16E-08,8202.2369,2.2241307,1.15E-05,2.32E-08,0.6756574131,0.576,0.2984183826,0.1924957438,0.8860689849,0.5524629555,0.5382391358
DP 80,1.9759,14.97,336.93,0.98794937,5.49E-08,35647.503,10.519795,5.45E-05,1.10E-07,0.6072675743,0.776,0.0668002672,0.9199830083,0.05992388949,0.9529435322,0.6378406419
DP 81,1.9595,14.954,335.54,0.97974934,5.20E-08,33790.514,9.9640412,5.16E-05,1.04E-07,0.6123500893,0.7596,0.06687174,0.8707600988,0.06017882164,0.9201041249,0.610844205
DP 82,1.7122,10.312,364.54,0.85609914,2.06E-08,13795.791,3.946615,2.05E-05,4.12E-08,0.7007942997,0.5123,0.09697439876,0.3407631847,0.1675502328,0.4249098919,0.3079636921
DP 83,1.6675,6.958,359.08,0.83374942,1.17E-08,8155.2525,2.2397123,1.16E-05,2.34E-08,0.7195802099,0.4676,0.1437194596,0.1912503358,0.3342824536,0.335402483,0.2841086399
DP 84,1.8164,13.318,347.43,0.9081992,3.26E-08,21385.071,6.2362442,3.23E-05,6.52E-08,0.6605923805,0.6165,0.0750863493,0.5419310119,0.08947903062,0.6335602723,0.4174402039
DP 85,1.8792,11.054,347.17,0.93959918,3.49E-08,22942.35,6.681914,3.46E-05,6.98E-08,0.63851639,0.6793,0.09046499005,0.5832095564,0.1443322039,0.7593111734,0.4906614682
DP 86,1.5727,4.312,339.08,0.78634836,2.87E-09,2527.7686,0.54989518,2.85E-06,5.74E-09,0.762955427,0.3728,0.2319109462,0.04208352309,0.6488475038,0.1455746896,0.2760468865
DP 87,1.7994,5.427,334.12,0.89969972,1.35E-08,9358.2329,2.5791851,1.34E-05,2.69E-08,0.6668333889,0.5995,0.1842638659,0.2231375442,0.4788979225,0.5995194233,0.4295131137
DP 88,1.7901,11.714,315.39,0.89504996,8.36E-09,6063.8117,1.6014588,8.30E-06,1.67E-08,0.6702977487,0.5902,0.0853679358,0.1358128501,0.1261518196,0.5808970765,0.2781443762
DP 89,1.7967,10.368,336.3,0.89834956,2.25E-08,15003.35,4.3025128,2.23E-05,4.49E-08,0.6678354762,0.5968,0.09645061728,0.3727717574,0.1656819873,0.5941129355,0.3737470045
DP 90,1.5655,14.282,381.15,0.78274903,1.37E-08,9310.3247,2.6237899,1.36E-05,2.74E-08,0.7664643884,0.3656,0.07001820473,0.2218676493,0.07140176248,0.1311573889,0.1400608442
DP 91,1.8319,13.141,342.17,0.91594931,3.27E-08,21457.686,6.2560944,3.24E-05,6.54E-08,0.6550030023,0.632,0.07609770946,0.543855806,0.09308639195,0.664597517,0.429508106
DP 92,1.75,13.199,341.3,0.87499946,2.28E-08,15131.177,4.3597362,2.26E-05,4.55E-08,0.6856571429,0.5501,0.0757633154,0.3761600471,0.09189366137,0.5006007209,0.3196559617
DP 93,1.8024,9.622,371.76,0.90119884,2.93E-08,19382.554,5.6089738,2.91E-05,5.86E-08,0.6657234798,0.6025,0.1039284972,0.4888506151,0.1923543993,0.605526632,0.4246214433
